cluster_id,gold,tissue_name,stage_hpf,kind,scored,agrees,agrees_overlay,confidence,confidence_score,margin,ood,abstain_reason,n_resolved,n_markers,vocab_hit_rate,depth,zfa_id,bucket,panel_bucket,convergent_genes,attractor_groundings,thin_overcall,support_fraction,n_candidates
axia.1,axia,axial,36.0,abstain,1,,,,,0.1,doublet,mixed,23,25,0.2,0,,mixed/unresolved,,,,,,3
axia.10,axia,axial,5.0,abstain,1,,,,,0.0,no_signal,no_panel,25,25,0.04,0,,mixed/unresolved,,,,,,0
axia.11,axia,axial,5.0,abstain,1,,,,,0.0,no_signal,no_panel,25,25,0.04,0,,mixed/unresolved,,,,,,0
axia.12,axia,axial,14.0,abstain,1,,,,,0.16,doublet,mixed,25,25,0.12,0,,mixed/unresolved,,,,,,2
axia.13,axia,axial,14.0,named,1,1,1,low,0.5282,0.0693,in_set,,24,25,0.12,2,ZFA:0000135,notochord,notochord,col15a1a;fn1a;gjc4b;noto;ntd5;ppib;sec61g;selenon;ssr3;ssr4;tbxta,,0,0.688,2
axia.14,axia,axial,10.0,abstain,1,,,,,0.0,no_signal,no_panel,25,25,0.0,0,,mixed/unresolved,,,,,,0
axia.15,axia,axial,14.0,abstain,1,,,,,0.0,no_signal,no_panel,24,25,0.0,0,,mixed/unresolved,,,,,,0
axia.16,axia,axial,120.0,abstain,1,,,,,0.1427,doublet,mixed,24,25,0.28,0,,mixed/unresolved,,,,,,3
axia.17,axia,axial,24.0,abstain,1,,,,,0.0798,doublet,mixed,24,25,0.16,0,,mixed/unresolved,,,,,,3
axia.18,axia,axial,48.0,rollup,1,,,medium,0.6761,0.1424,in_set,,21,25,0.08,1,,ectoderm,ectoderm,,,,,2
axia.19,axia,axial,16.0,abstain,1,,,,,0.2481,doublet,mixed,24,25,0.16,0,,mixed/unresolved,,,,,,2
axia.2,axia,axial,48.0,abstain,1,,,,,0.1005,doublet,mixed,23,25,0.24,0,,mixed/unresolved,,,,,,3
axia.20,axia,axial,24.0,abstain,1,,,,,0.0279,in_set,weak_signal,24,25,0.04,0,,mixed/unresolved,,,,,,1
axia.21,axia,axial,18.0,abstain,1,,,,,0.091,in_set,weak_signal,24,25,0.12,0,,mixed/unresolved,,,,,,2
axia.22,axia,axial,4.0,abstain,1,,,,,0.0,no_signal,no_panel,25,25,0.04,0,,mixed/unresolved,,,,,,0
axia.23,axia,axial,48.0,abstain,1,,,,,0.0355,in_set,weak_signal,25,25,0.16,0,,mixed/unresolved,,,,,,4
axia.24,axia,axial,36.0,abstain,1,,,,,0.0677,doublet,mixed,23,25,0.16,0,,mixed/unresolved,,,,,,3
axia.25,axia,axial,104.0,named,1,1,1,low,0.3855,0.0624,in_set,,22,25,0.2,2,ZFA:0000135,notochord,notochord,cebpd;cnmd;col11a1a;col2a1a;col9a1b;col9a2;col9a3;epyc;krt8;matn3a;sparc,,0,0.55,3
axia.3,axia,axial,8.0,abstain,1,,,,,0.0,no_signal,no_panel,25,25,0.04,0,,mixed/unresolved,,,,,,0
axia.4,axia,axial,8.0,named,1,1,1,low,0.3699,0.0283,in_set,,25,25,0.08,2,ZFA:0000135,notochord,notochord,fthl27;gjc4b;hspb1;noto,,0,0.267,1
axia.5,axia,axial,10.0,named,1,1,1,low,0.5232,0.0883,in_set,,25,25,0.08,2,ZFA:0000135,notochord,notochord,asph;foxa;hspb1;lrrc59;noto;ntd5;plod1a;pmp22b;sec61b;sec61g;serpinh1b;ssr1;tbxta;twist2,,0,0.778,1
axia.6,axia,axial,108.0,abstain,1,,,,,0.2482,doublet,mixed,24,25,0.32,0,,mixed/unresolved,,,,,,3
axia.7,axia,axial,48.0,abstain,1,,,,,0.1952,doublet,mixed,24,25,0.28,0,,mixed/unresolved,,,,,,2
