cluster_id,gold,tissue_name,stage_hpf,kind,scored,agrees,agrees_overlay,confidence,confidence_score,margin,ood,abstain_reason,n_resolved,n_markers,vocab_hit_rate,depth,zfa_id,bucket,panel_bucket,convergent_genes,attractor_groundings,thin_overcall,support_fraction,n_candidates
adrenal_gland,Endocrine,adrenal gland,48.0,fallback,1,1,1,medium,0.7026,0.1654,in_set,,24,25,0.08,3,ZFA:0001345,interrenal,interrenal,,,,,1
anterior_migratory_muscle,Cranial Muscle (Late),anterior migratory muscle,36.0,abstain,1,,,,,0.0958,in_set,weak_signal,24,25,0.08,0,,mixed/unresolved,,,,,,1
basal_cell,Epidermis,basal cell,48.0,named,1,1,1,low,0.3862,0.058,in_set,,25,25,0.16,6,ZFA:0000105,epidermis,epidermis,cldni;col11a1a;col18a1a;col1a1a;col1a1b;col1a2;col2a1b;col4a5;krt4;krt5;krt91;myh9a;pleca;postnb;rbp4;sparc,epidermis,0,0.727,2
cardiomyocyte,Heart,cardiomyocyte,48.0,rollup,1,,,medium,0.8696,0.1934,in_set,,25,25,0.2,1,,mesoderm,mesoderm,,,,,2
chondrocranium,Pharyngeal Arch,chondrocranium,72.0,abstain,1,,,,,0.0,no_signal,no_panel,22,25,0.0,0,,mixed/unresolved,,,,,,0
connective_tissue_meninges_dermal_fb,Connective Tissue,connective tissue-meninges-dermal FB,48.0,abstain,1,,,,,0.065,structural,weak_signal,24,25,0.12,0,,mixed/unresolved,,,,,,2
contains_head_vasculature,Connective Tissue,contains head vasculature?,24.0,abstain,1,,,,,0.0262,in_set,weak_signal,25,25,0.04,0,,mixed/unresolved,,,,,,1
cranial_muscle_early,Pharyngeal Arch,cranial muscle (early),48.0,abstain,1,,,,,0.0394,in_set,weak_signal,23,25,0.16,0,,mixed/unresolved,,,,,,4
cranial_muscle_late,Cranial Muscle (Late),cranial muscle (late),72.0,rollup,1,,,medium,0.8396,0.1445,in_set,,23,25,0.28,1,,mesoderm,mesoderm,,,,,3
cranial_muscle_mid,Pharyngeal Arch,cranial muscle (mid),48.0,abstain,1,,,,,0.0193,in_set,weak_signal,24,25,0.16,0,,mixed/unresolved,,,,,,3
cranial_muscle_non_somitic_fast_twitch,Cranial Muscle (Late),"cranial muscle (non-somitic, fast-twitch)",48.0,abstain,1,,,,,0.0897,structural,weak_signal,24,25,0.12,0,,mixed/unresolved,,,,,,2
cranial_muscle_progenitor,Pharyngeal Arch,cranial muscle (progenitor),24.0,abstain,1,,,,,0.0,in_set,weak_signal,24,25,0.08,0,,mixed/unresolved,,,,,,3
cranial_neural_crest,Cranial NC,cranial neural crest,36.0,abstain,1,,,,,0.0,no_signal,no_panel,23,25,0.0,0,,mixed/unresolved,,,,,,0
differentiating_neuron_1,Central Nervous System,differentiating neuron 1,36.0,named,1,1,1,high,0.9706,0.2706,in_set,,24,25,0.12,5,ZFA:0000008,brain,neural,brsk2b;cux2b;dacha;dla;dlb;ebf1a;ebf2;ebf3a;ek1;elavl3;gdf11;myt1a;myt1b;nova2;pcdh19;plxna2;pou2f2a;rhbdl3;srrm4;tenm4,neural,0,0.952,1
differentiating_neuron_2,Central Nervous System,differentiating neuron 2,36.0,named,1,1,1,medium,0.6686,0.1482,in_set,,24,25,0.12,8,ZFA:0000079,telencephalon,neural,cux2b;dla;dlb;ebf2;ebf3a;elavl3;nova2;pax2b;rhbdl3;robo3;srrm4;thsd7aa;zfhx3b,neural,0,0.591,1
differentiating_neuron_hindbrain,Central Nervous System,differentiating neuron (hindbrain),36.0,named,1,1,1,low,0.591,0.1032,in_set,,23,25,0.08,5,ZFA:0000008,brain,neural,adgrv1;brsk2b;cntfr;dacha;ek1;gdf11;ncam1b;ndst3;notch3;nova2;npas3;ntn1a;pax3a;pcdh19;rfx4;tenm4;znf536,neural,0,0.895,2
dorsal_spinal_cord_neuron,Central Nervous System,dorsal spinal cord neuron,48.0,named,1,1,1,low,0.424,0.0288,in_set,,24,25,0.12,8,ZFA:0000079,telencephalon,neural,atp1a1b;clstn2a;dab1a;dacha;gfap;grid2;ndst3;notch3;nova2;npas3;ntrk3a;zbtb20,neural,0,0.545,3
endothelium_dorsal_aorta,Endothelial,endothelium (dorsal aorta),48.0,named,1,1,1,high,0.9234,0.2681,in_set,,24,25,0.2,6,ZFA:0001079,blood vasculature,endothelium,akap12b;arhgef9b;cdh5;col4a1;dll4;esama;fgd5a;fli1;flt1;fmnl3;kdrl;ldb2a;mcamb,endothelium,0,0.765,1
endothelium_f8_clic2,Endothelial,"endothelium (f8+, clic2+)",48.0,named,1,1,1,medium,0.6559,0.1735,in_set,,24,25,0.16,15,ZFA:0000477,posterior cardinal vein,endothelium,cdh5;esama;fgd5a;fli1;flt1;itga9;rasip1;tie1;yrk,endothelium,0,0.474,1
endothelium_vein_early_artery,Endothelial,endothelium (vein + early artery),36.0,named,1,1,1,high,0.859,0.2561,in_set,,24,25,0.2,15,ZFA:0000477,posterior cardinal vein,endothelium,cdh5;esama;fgd5a;fli1;flt4;mcamb;mrc1a;rasip1;stab1;stab2;tie1,endothelium,0,0.55,1
eye_optic_cup,Eye,"eye, optic cup",36.0,named,1,1,1,low,0.3757,0.033,in_set,,23,25,0.04,12,ZFA:0000152,retina,neural,cadm3;cdon;crb2a;dachd;efna3b;ephb2a;nova2;pax6a;pcbp4;pcdh17;pcdh19;rorb;sdk1b;unc5b;vax2,neural,0,0.882,1
fast_committed_myocyte,Cranial Muscle (Late),fast-committed myocyte,18.0,abstain,1,,,,,0.0943,doublet,mixed,24,25,0.16,0,,mixed/unresolved,,,,,,4
fin_bud_mesoderm_pectoral,Fin,fin bud mesoderm (pectoral),48.0,named,1,1,1,low,0.3565,0.0932,in_set,,24,25,0.08,5,ZFA:0001161,pectoral fin,fin,and1;and2;cntfr;col1a1a;robo3;serpinh1b;vcanb,,0,0.389,2
fin_fold,Fin,fin fold,48.0,named,1,1,1,low,0.4185,0.0468,in_set,,24,25,0.08,5,ZFA:0001161,pectoral fin,fin,and1;and2;bcam;col18a1a;col1a1a;fras1;frem2a;lama5;myh9a;vcanb;wnt9a,,0,0.611,2
fin_mesenchyme,Fin,fin mesenchyme,24.0,abstain,1,,,,,0.066,in_set,weak_signal,25,25,0.08,0,,mixed/unresolved,,,,,,1
floor_plate,Central Nervous System,floor plate,36.0,abstain,1,,,,,0.0,no_signal,no_panel,25,25,0.0,0,,mixed/unresolved,,,,,,0
glia,Central Nervous System,glia,72.0,abstain,1,,,,,0.0,structural,weak_signal,24,25,0.04,0,,mixed/unresolved,,,,,,2
hair_cell,Lateral Line,hair cell,72.0,named,1,1,1,low,0.5576,0.0799,in_set,,24,25,0.08,6,ZFA:0000243,neuromast,lateral_line,eya1;eya4;myo6b;otofb;pcdh15a;pcsk5a,neural,0,0.333,2
hatching_gland,Hatching Gland,hatching gland,48.0,named,1,0,0,medium,0.7195,0.2099,in_set,,22,25,0.12,6,ZFA:0000105,epidermis,epidermis,cast;ckap4;cyt1;evpla;evplb;fut9d;gmds;krt4;krt5;pleca;ppl;tent5ba,epidermis,0,0.667,1
head_eye_connective_tissue,Connective Tissue,head/eye connective tissue,24.0,abstain,1,,,,,0.0055,in_set,weak_signal,25,25,0.08,0,,mixed/unresolved,,,,,,2
head_mesenchyme,Pharyngeal Arch,head mesenchyme,36.0,abstain,1,,,,,0.0586,in_set,weak_signal,24,25,0.12,0,,mixed/unresolved,,,,,,2
head_mesenchyme_maybe_ventral_hand2,Pharyngeal Arch,"head mesenchyme (maybe ventral, hand2+)",48.0,abstain,1,,,,,0.0,no_signal,no_panel,24,25,0.0,0,,mixed/unresolved,,,,,,0
head_mesenchyme_pa_cartilage,Pharyngeal Arch,head mesenchyme/PA cartilage,36.0,abstain,1,,,,,0.0,no_signal,no_panel,22,25,0.0,0,,mixed/unresolved,,,,,,0
hypochord,Hypochord,hypochord,36.0,abstain,1,,,,,0.031,in_set,weak_signal,24,25,0.12,0,,mixed/unresolved,,,,,,3
hypophysis_locus_coeruleus,Central Nervous System,hypophysis/locus coeruleus,48.0,fallback,1,1,1,low,0.3874,0.0367,in_set,,23,25,0.04,3,ZFA:0001282,pituitary,pituitary,,,,,1
intestine,Intestine,intestine,72.0,abstain,1,,,,,0.0,no_signal,no_panel,23,25,0.0,0,,mixed/unresolved,,,,,,0
ionocyte_goblet_cell,Epidermis,ionocyte/goblet cell,36.0,abstain,1,,,,,0.1183,in_set,weak_signal,24,25,0.08,0,,mixed/unresolved,,,,,,1
iridophore,Pigment,iridophore,48.0,abstain,1,,,,,0.0841,in_set,weak_signal,21,25,0.08,0,,mixed/unresolved,,,,,,1
jaw_chondrocyte,Pharyngeal Arch,jaw chondrocyte,72.0,abstain,1,,,,,0.0702,doublet,mixed,24,25,0.16,0,,mixed/unresolved,,,,,,3
ka_neuron,Central Nervous System,KA neuron,36.0,abstain,1,,,,,0.0,no_signal,no_panel,23,25,0.0,0,,mixed/unresolved,,,,,,0
lens,Eye,lens,48.0,named,1,1,1,low,0.4512,0.0616,in_set,,24,25,0.08,12,ZFA:0000035,lens,eye,capn3a;cryba1b;cryba1l1;cryba2b;cryba4;crybb1;crybb1l1;crybb1l2;crygn2;dacha;fgfrl1b;ivns1abpa;lim2.4;mipa;rbm24a;trpm3;vcana,neural,0,0.85,1
