zfa_id,name,credited_genes,genes_to_min,has_cl,reach,current_genes
ZFA:0009069,Golgi cell,2,1,1,is_a/part_of,gad1b;gad2
ZFA:0009221,UV sensitive photoreceptor cell,2,1,1,is_a/part_of,arr3b;opn1sw1
ZFA:0009061,adrenergic neuron,2,1,1,is_a/part_of,dbh;th
ZFA:0009222,blue sensitive photoreceptor cell,2,1,1,is_a/part_of,arr3b;opn1sw2
ZFA:0009079,corneal endothelial cell,2,1,1,is_a/part_of,dnajc9;krt1-19e
ZFA:0009396,glycinergic neuron,2,1,1,is_a/part_of,nkx1-2b;slc6a5
ZFA:0001099,immature hair cell posterior macula,2,1,0,is_a/part_of,jag2b;sox2
ZFA:0005828,kappe olfactory receptor neuron,2,1,0,is_a/part_of,piezo1;piezo2b
ZFA:0005739,pancreatic acinar cell,2,1,1,is_a/part_of,nr5a2;prss1
ZFA:0009237,perineuronal satellite cell,2,1,1,is_a/part_of,foxd3;mbpa
ZFA:0009063,peripheral neuron,2,1,1,is_a/part_of,mbpa;prkcea
ZFA:0005176,CoSA,1,2,0,is_a/part_of,pax2a
ZFA:0005195,MiD3cl,1,2,0,is_a/part_of,sema3aa
ZFA:0005190,MiV1,1,2,0,is_a/part_of,en1b
ZFA:0009319,ON-bipolar cell,1,2,1,is_a/part_of,grm6b
ZFA:0009335,alpha-beta T cell,1,2,1,is_a/part_of,trbc2
ZFA:0009304,choroid plexus epithelial cell,1,2,1,is_a/part_of,slc16a2
ZFA:0009314,columnar chondrocyte,1,2,1,is_a/part_of,msmo1
ZFA:0009322,cone retinal bipolar cell,1,2,1,is_a/part_of,nup62l
ZFA:0009156,gamete,1,2,1,is_a/part_of,zp3
ZFA:0009336,gamma-delta T cell,1,2,1,is_a/part_of,trdc
ZFA:0009337,immature gamma-delta T cell,1,2,1,is_a/part_of,trdc
ZFA:0009328,immature neutrophil,1,2,1,is_a/part_of,cebp1
ZFA:0009379,intrahepatic bile duct epithelial cell,1,2,1,is_a/part_of,wwtr1
ZFA:0001674,mesonephric podocyte,1,2,0,is_a/part_of,vegfaa
ZFA:0005210,midbrain interneuron,1,2,0,is_a/part_of,pvalb7
ZFA:0001006,muscle pioneer somite 21,1,2,0,is_a/part_of,plce1
ZFA:0000794,muscle pioneer somite 22,1,2,0,is_a/part_of,plce1
ZFA:0000922,muscle pioneer somite 4,1,2,0,is_a/part_of,plce1
ZFA:0001010,muscle pioneer somite 5,1,2,0,is_a/part_of,plce1
ZFA:0000799,muscle pioneer somite 6,1,2,0,is_a/part_of,plce1
ZFA:0000044,myotome somite 14,1,2,0,is_a/part_of,nr5a2
ZFA:0000809,myotome somite 4,1,2,0,is_a/part_of,nr5a2
ZFA:0000810,myotome somite 7,1,2,0,is_a/part_of,nr5a2
ZFA:0009266,neutrophilic myelocyte,1,2,1,is_a/part_of,cebp1
ZFA:0009240,nitrergic neuron,1,2,1,is_a/part_of,nos1
ZFA:0005873,noradrenergic neuron,1,2,1,is_a/part_of,dbh
ZFA:0005878,oogonia,1,2,1,is_a/part_of,nanos2
ZFA:0009380,pancreatic ductal cell,1,2,1,is_a/part_of,epcam
ZFA:0009170,pigment cell (sensu Vertebrata),1,2,1,is_a/part_of,nrp2b
ZFA:0009204,prolactin secreting cell,1,2,1,is_a/part_of,prl
ZFA:0005322,renal principal cell,1,2,1,is_a/part_of,trpm7
ZFA:0000963,slow muscle cell somite 1,1,2,0,is_a/part_of,nr5a2
ZFA:0001047,slow muscle cell somite 10,1,2,0,is_a/part_of,nr5a2
ZFA:0000841,slow muscle cell somite 14,1,2,0,is_a/part_of,nr5a2
ZFA:0000972,slow muscle cell somite 4,1,2,0,is_a/part_of,nr5a2
ZFA:0000973,slow muscle cell somite 7,1,2,0,is_a/part_of,nr5a2
ZFA:0009155,somatotropin secreting cell,1,2,1,is_a/part_of,gh1
ZFA:0009297,stellate interneuron,1,2,1,is_a/part_of,gad1b
ZFA:0005732,visceromotor neuron,1,2,1,is_a/part_of,phox2bb
ZFA:0009195,CNS long range interneuron,0,3,1,is_a/part_of,
ZFA:0005218,CaD,0,3,0,is_a/part_of,
ZFA:0005217,CaV,0,3,0,is_a/part_of,
ZFA:0009300,Cajal-Retzius cell,0,3,1,is_a/part_of,
ZFA:0005186,CoB,0,3,0,is_a/part_of,
ZFA:0005230,CoBL,0,3,0,is_a/part_of,
ZFA:0005234,CoLA,0,3,0,is_a/part_of,
ZFA:0005175,CoPA,0,3,0,is_a/part_of,
ZFA:0005232,MCoD,0,3,0,is_a/part_of,
ZFA:0005211,MeL,0,3,0,is_a/part_of,
ZFA:0005214,MeLc,0,3,0,is_a/part_of,
ZFA:0005215,MeLm,0,3,0,is_a/part_of,
ZFA:0005213,MeLr,0,3,0,is_a/part_of,
ZFA:0005212,MeM,0,3,0,is_a/part_of,
ZFA:0005216,MeM1,0,3,0,is_a/part_of,
ZFA:0005184,MiD2cl,0,3,0,is_a/part_of,
ZFA:0005183,MiD2i,0,3,0,is_a/part_of,
ZFA:0005197,MiD3i,0,3,0,is_a/part_of,
ZFA:0005187,MiM1,0,3,0,is_a/part_of,
ZFA:0005188,MiR1,0,3,0,is_a/part_of,
ZFA:0005189,MiR2,0,3,0,is_a/part_of,
ZFA:0005191,MiV2,0,3,0,is_a/part_of,
ZFA:0009320,OFF-bipolar cell,0,3,1,is_a/part_of,
ZFA:0005192,RoI2C,0,3,0,is_a/part_of,
ZFA:0005193,RoI2R,0,3,0,is_a/part_of,
ZFA:0005194,RoL1,0,3,0,is_a/part_of,
ZFA:0005198,RoL2,0,3,0,is_a/part_of,
ZFA:0005200,RoL2c,0,3,0,is_a/part_of,
ZFA:0005199,RoL2r,0,3,0,is_a/part_of,
ZFA:0005201,RoL3,0,3,0,is_a/part_of,
ZFA:0005202,RoM1c,0,3,0,is_a/part_of,
ZFA:0005203,RoM1r,0,3,0,is_a/part_of,
ZFA:0005205,RoM2l,0,3,0,is_a/part_of,
ZFA:0005206,RoM2m,0,3,0,is_a/part_of,
ZFA:0005207,RoM3l,0,3,0,is_a/part_of,
ZFA:0005208,RoM3m,0,3,0,is_a/part_of,
ZFA:0005204,RoV3,0,3,0,is_a/part_of,
ZFA:0005815,T interneuron,0,3,0,is_a/part_of,
ZFA:0005235,UCoD,0,3,0,is_a/part_of,
ZFA:0005969,VeMe,0,3,0,is_a/part_of,
ZFA:0009254,band form neutrophil,0,3,1,is_a/part_of,
ZFA:0009068,basket cell,0,3,1,is_a/part_of,
ZFA:0005231,bifurcate interneuron,0,3,0,is_a/part_of,
ZFA:0005970,brain lymphatic endothelial cell,0,3,0,is_a/part_of,
ZFA:0009087,cementocyte,0,3,1,is_a/part_of,
ZFA:0005770,crypt neuron olfactory support cell,0,3,0,is_a/part_of,
ZFA:0009317,cyanophore,0,3,1,is_a/part_of,
ZFA:0005806,diencephalic efferent neurons to the lateral line,0,3,0,is_a/part_of,
ZFA:0009217,digestive enzyme secreting cell,0,3,1,is_a/part_of,
ZFA:0009294,ependymoglial cell,0,3,1,is_a/part_of,
ZFA:0009400,epithelial cell of esophagus,0,3,1,is_a/part_of,
ZFA:0009263,erythrophore,0,3,1,is_a/part_of,
ZFA:0009152,extramedullary cell,0,3,1,is_a/part_of,
ZFA:0000513,fast muscle cell somite 1,0,3,0,is_a/part_of,
ZFA:0000750,fast muscle cell somite 10,0,3,0,is_a/part_of,
ZFA:0000876,fast muscle cell somite 11,0,3,0,is_a/part_of,
ZFA:0000773,fast muscle cell somite 12,0,3,0,is_a/part_of,
ZFA:0000752,fast muscle cell somite 13,0,3,0,is_a/part_of,
ZFA:0000877,fast muscle cell somite 14,0,3,0,is_a/part_of,
ZFA:0000784,fast muscle cell somite 15,0,3,0,is_a/part_of,
ZFA:0000753,fast muscle cell somite 16,0,3,0,is_a/part_of,
ZFA:0000878,fast muscle cell somite 17,0,3,0,is_a/part_of,
ZFA:0000795,fast muscle cell somite 18,0,3,0,is_a/part_of,
ZFA:0000754,fast muscle cell somite 19,0,3,0,is_a/part_of,
ZFA:0000879,fast muscle cell somite 2,0,3,0,is_a/part_of,
ZFA:0000806,fast muscle cell somite 20,0,3,0,is_a/part_of,
ZFA:0000755,fast muscle cell somite 21,0,3,0,is_a/part_of,
ZFA:0000880,fast muscle cell somite 22,0,3,0,is_a/part_of,
ZFA:0000817,fast muscle cell somite 23,0,3,0,is_a/part_of,
ZFA:0000756,fast muscle cell somite 24,0,3,0,is_a/part_of,
ZFA:0000881,fast muscle cell somite 25,0,3,0,is_a/part_of,
ZFA:0000827,fast muscle cell somite 26,0,3,0,is_a/part_of,
ZFA:0000757,fast muscle cell somite 27,0,3,0,is_a/part_of,
ZFA:0000883,fast muscle cell somite 28,0,3,0,is_a/part_of,
ZFA:0000838,fast muscle cell somite 29,0,3,0,is_a/part_of,
ZFA:0000758,fast muscle cell somite 3,0,3,0,is_a/part_of,
ZFA:0000884,fast muscle cell somite 30,0,3,0,is_a/part_of,
ZFA:0000849,fast muscle cell somite 4,0,3,0,is_a/part_of,
ZFA:0000759,fast muscle cell somite 5,0,3,0,is_a/part_of,
ZFA:0000885,fast muscle cell somite 6,0,3,0,is_a/part_of,
ZFA:0000860,fast muscle cell somite 7,0,3,0,is_a/part_of,
ZFA:0000760,fast muscle cell somite 8,0,3,0,is_a/part_of,
ZFA:0000886,fast muscle cell somite 9,0,3,0,is_a/part_of,
ZFA:0009281,folliculostellate cell,0,3,1,is_a/part_of,
