atlas,cluster_id,broad_gold,fine_gold,current_kind,current_bucket,current_correct,category,candidate_zfa,candidate_name,candidate_tier,candidate_support,candidate_depth,best_parent_support,clears_06_floor,fine_match
daniocell,axia.1,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000060,prechordal plate,T1,5,6,23,0,0
daniocell,axia.10,axia,axial,abstain,mixed/unresolved,0,resolution_bound,,,,0,-1,0,0,0
daniocell,axia.11,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000058,polster,T1,3,9,10,0,0
daniocell,axia.12,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000058,polster,T1,7,9,20,0,0
daniocell,axia.13,axia,axial,named,notochord,1,panel_addable_deeper_correct,ZFA:0000058,polster,T1,6,9,16,0,0
daniocell,axia.14,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000058,polster,T1,17,9,21,1,0
daniocell,axia.15,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000058,polster,T1,15,9,18,1,0
daniocell,axia.16,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000060,prechordal plate,T1,3,6,22,0,0
daniocell,axia.17,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000058,polster,T1,4,9,22,0,0
daniocell,axia.18,axia,axial,rollup,ectoderm,0,panel_addable_new_correct,ZFA:0000058,polster,T1,6,9,17,0,0
daniocell,axia.19,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000060,prechordal plate,T1,5,6,19,0,0
daniocell,axia.2,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000060,prechordal plate,T1,3,6,21,0,0
daniocell,axia.20,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000058,polster,T1,13,9,20,1,0
daniocell,axia.21,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000058,polster,T1,6,9,18,0,0
daniocell,axia.22,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000058,polster,T1,3,9,10,0,0
daniocell,axia.23,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000058,polster,T1,4,9,24,0,0
daniocell,axia.24,axia,axial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,axia.25,axia,axial,named,notochord,1,covered,,,,0,-1,0,0,0
daniocell,axia.3,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000058,polster,T1,6,9,14,0,0
daniocell,axia.4,axia,axial,named,notochord,1,panel_addable_deeper_correct,ZFA:0001204,axial mesoderm,T1,3,5,15,0,1
daniocell,axia.5,axia,axial,named,notochord,1,panel_addable_deeper_correct,ZFA:0000058,polster,T1,6,9,18,0,0
daniocell,axia.6,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000060,prechordal plate,T1,3,6,23,0,0
daniocell,axia.7,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000060,prechordal plate,T1,4,6,23,0,0
daniocell,axia.8,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000058,polster,T1,3,9,13,0,0
daniocell,axia.9,axia,axial,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000060,prechordal plate,T1,4,6,23,0,0
daniocell,ceph,ceph,cephalic,abstain,mixed/unresolved,0,resolution_bound,,,,0,-1,0,0,0
daniocell,endo.1,endo,endoderm,named,liver,1,covered,,,,0,-1,0,0,0
daniocell,endo.10,endo,endoderm,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,endo.11,endo,endoderm,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,endo.12,endo,endoderm,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,endo.13,endo,endoderm,named,intestine,1,covered,ZFA:0000017,endoderm,T1,3,4,19,0,1
daniocell,endo.14,endo,endoderm,named,intestine,1,covered,,,,0,-1,0,0,0
daniocell,endo.15,endo,endoderm,named,intestine,1,covered,ZFA:0000031,hypochord,T1,3,5,14,0,0
daniocell,endo.16,endo,endoderm,named,intestine,1,covered,,,,0,-1,0,0,0
daniocell,endo.17,endo,endoderm,named,intestine,1,covered,,,,0,-1,0,0,0
daniocell,endo.18,endo,endoderm,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000017,endoderm,T1,4,4,17,0,1
daniocell,endo.19,endo,endoderm,named,intestine,1,covered,,,,0,-1,0,0,0
daniocell,endo.2,endo,endoderm,named,liver,1,covered,,,,0,-1,0,0,0
daniocell,endo.20,endo,endoderm,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000017,endoderm,T1,3,4,20,0,1
daniocell,endo.21,endo,endoderm,named,intestine,1,covered,ZFA:0000017,endoderm,T1,4,4,13,0,1
daniocell,endo.22,endo,endoderm,named,pancreas,1,covered,,,,0,-1,0,0,0
daniocell,endo.23,endo,endoderm,named,pancreas,1,covered,,,,0,-1,0,0,0
daniocell,endo.24,endo,endoderm,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,endo.25,endo,endoderm,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,endo.26,endo,endoderm,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,endo.27,endo,endoderm,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,endo.28,endo,endoderm,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000017,endoderm,T1,5,4,17,0,1
daniocell,endo.29,endo,endoderm,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000017,endoderm,T1,3,4,19,0,1
daniocell,endo.3,endo,endoderm,named,liver,1,covered,,,,0,-1,0,0,0
daniocell,endo.30,endo,endoderm,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000017,endoderm,T1,3,4,16,0,1
daniocell,endo.31,endo,endoderm,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,endo.32,endo,endoderm,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000017,endoderm,T1,5,4,18,0,1
daniocell,endo.33,endo,endoderm,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000017,endoderm,T1,4,4,20,0,1
daniocell,endo.34,endo,endoderm,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,endo.4,endo,endoderm,named,liver,1,covered,,,,0,-1,0,0,0
daniocell,endo.5,endo,endoderm,named,liver,1,covered,,,,0,-1,0,0,0
daniocell,endo.6,endo,endoderm,named,liver,1,covered,,,,0,-1,0,0,0
daniocell,endo.7,endo,endoderm,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,endo.8,endo,endoderm,abstain,mixed/unresolved,0,panel_addable_new_correct,ZFA:0000031,hypochord,T1,3,5,18,0,0
daniocell,endo.9,endo,endoderm,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.1,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.10,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.11,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.12,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.13,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.14,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.15,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.16,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.17,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.18,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.19,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.2,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.20,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.21,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.22,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.23,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.24,epid,epidermis,rollup,ectoderm,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.25,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.26,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.27,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.28,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
daniocell,epid.29,epid,epidermis,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,epid.3,epid,epidermis,named,epidermis,1,covered,,,,0,-1,0,0,0
