zfa_id,name,tier,cell_identity,credited_genes,reach
ZFA:0000632,reproductive system,T1,0,1782,unreachable
ZFA:0001306,pharyngeal arch,T1,0,1750,unreachable
ZFA:0000413,gonad,T1,0,1740,unreachable
ZFA:0001678,immature eye,T1,0,1599,unreachable
ZFA:0009128,electrically active cell,T1,1,1560,unreachable
ZFA:0000155,somite,T1,0,1555,via_develops_from
ZFA:0000016,ectoderm,T1,0,1453,unreachable
ZFA:0001486,epithelium,T1,0,1448,unreachable
ZFA:0000303,female organism,T1,0,1396,unreachable
ZFA:0001135,neural tube,T1,0,1372,unreachable
ZFA:0000403,ovary,T1,0,1354,unreachable
ZFA:0005023,hematopoietic system,T1,0,1306,unreachable
ZFA:0000242,male organism,T1,0,1285,unreachable
ZFA:0000368,integument,T1,0,1268,unreachable
ZFA:0000598,testis,T1,0,1224,unreachable
ZFA:0000434,skeletal system,T1,0,1215,unreachable
ZFA:0000051,otic vesicle,T1,0,1141,via_develops_from
ZFA:0000393,mesenchyme,T1,0,1113,unreachable
ZFA:0000737,cranium,T1,0,1035,unreachable
ZFA:0000151,pronephros,T1,0,989,unreachable
ZFA:0001216,splanchnocranium,T1,0,953,via_develops_from
ZFA:0000135,notochord,T1,0,941,unreachable
ZFA:0001309,neurogenic placode,T1,0,918,unreachable
ZFA:0000077,tail bud,T1,0,810,unreachable
ZFA:0000098,proliferative region,T1,0,745,unreachable
ZFA:0005249,vasculature,T1,0,727,unreachable
ZFA:0007038,anterior neural tube,T1,0,709,unreachable
ZFA:0000132,neural plate,T1,0,700,unreachable
ZFA:0007039,midbrain neural tube,T1,0,680,unreachable
ZFA:0001117,post-vent region,T1,0,636,unreachable
ZFA:0000088,yolk syncytial layer,T1,0,604,unreachable
ZFA:0001310,dorsolateral placode,T1,0,588,unreachable
ZFA:0001204,axial mesoderm,T1,0,545,unreachable
ZFA:0001383,fin bud,T1,0,545,unreachable
ZFA:0000131,neural keel,T1,0,543,unreachable
ZFA:0000050,optic vesicle,T1,0,503,unreachable
ZFA:0001679,solid lens vesicle,T1,0,444,unreachable
ZFA:0000060,prechordal plate,T1,0,430,unreachable
ZFA:0000133,neural rod,T1,0,413,unreachable
ZFA:0005494,skeletal element,T1,0,406,unreachable
ZFA:0001357,alar plate midbrain region,T1,0,403,unreachable
ZFA:0001185,periderm,T1,0,399,unreachable
ZFA:0000058,polster,T1,0,376,unreachable
ZFA:0001202,optic cup,T1,0,374,unreachable
ZFA:0000017,endoderm,T1,0,368,via_develops_from
ZFA:0001110,ovarian follicle,T1,0,365,unreachable
ZFA:0000360,heart tube,T1,0,361,unreachable
ZFA:0000045,neural crest,T1,0,360,unreachable
ZFA:0000083,ventral mesoderm,T1,0,360,unreachable
ZFA:0000111,germ ring,T1,0,350,unreachable
ZFA:0001176,blastoderm,T1,0,348,unreachable
ZFA:0000092,axis,T1,0,334,unreachable
ZFA:0009016,germ line cell,T1,1,333,unreachable
ZFA:0001612,pharyngeal arch 1,T1,0,332,unreachable
ZFA:0009009,neuron neural crest derived,T1,1,319,via_develops_from
ZFA:0001175,blastodisc,T1,0,314,unreachable
ZFA:0005830,hematopoietic cell,T1,1,310,unreachable
ZFA:0007024,anterior neural keel,T1,0,304,unreachable
ZFA:0009034,epithelial cell,T1,1,300,unreachable
ZFA:0000761,basal plate midbrain region,T1,0,292,unreachable
ZFA:0000076,swim bladder,T1,0,284,via_develops_from
ZFA:0000026,hatching gland,T1,0,274,unreachable
ZFA:0000038,margin,T1,0,270,unreachable
ZFA:0000093,blastomere,T1,1,247,unreachable
ZFA:0000590,oral region,T1,0,247,unreachable
ZFA:0001501,cartilage element,T1,0,247,unreachable
ZFA:0001227,mandibular arch skeleton,T1,0,231,via_develops_from
ZFA:0000121,lateral plate mesoderm,T1,0,231,unreachable
ZFA:0000117,hypoblast,T1,0,223,unreachable
ZFA:0001120,neuroectoderm,T1,0,223,unreachable
ZFA:0001514,bone element,T1,0,220,unreachable
ZFA:0000162,trigeminal placode,T1,0,217,unreachable
ZFA:0009136,motile cell,T1,1,216,unreachable
ZFA:0000086,EVL,T1,0,204,unreachable
ZFA:0000001,Kupffer's vesicle,T1,0,200,unreachable
ZFA:0000115,heart rudiment,T1,0,195,unreachable
ZFA:0007017,posterior neural plate,T1,0,195,unreachable
ZFA:0001611,pharyngeal arch 2,T1,0,186,unreachable
ZFA:0007022,hindbrain neural plate,T1,0,184,unreachable
ZFA:0005957,stem cell,T1,1,174,unreachable
ZFA:0007023,posterior neural keel,T1,0,173,unreachable
ZFA:0009020,multi fate stem cell,T1,1,160,unreachable
ZFA:0000149,primitive heart tube,T1,0,157,unreachable
ZFA:0000040,median fin fold,T1,0,154,unreachable
ZFA:0007025,midbrain neural keel,T1,0,154,unreachable
ZFA:0007029,hindbrain neural keel,T1,0,152,unreachable
ZFA:0007031,anterior neural rod,T1,0,152,unreachable
ZFA:0000023,forerunner cell group,T1,0,150,unreachable
ZFA:0001065,lateral mesoderm,T1,0,146,unreachable
ZFA:0000031,hypochord,T1,0,145,via_develops_from
ZFA:0007037,posterior neural tube,T1,0,145,unreachable
ZFA:0001263,ovarian follicle stage I,T1,0,140,unreachable
ZFA:0001265,ovarian follicle stage II,T1,0,139,unreachable
ZFA:0007089,embryonic cell,T1,1,138,unreachable
ZFA:0001071,presumptive neural retina,T1,0,137,unreachable
ZFA:0000317,postcranial axial skeleton,T1,0,132,via_develops_from
ZFA:0001378,axial hypoblast,T1,0,130,unreachable
ZFA:0009130,lining cell,T1,1,127,unreachable
ZFA:0001206,intermediate mesoderm,T1,0,127,unreachable
ZFA:0000382,acellular anatomical structure,T1,0,125,unreachable
ZFA:0001266,ovarian follicle stage III,T1,0,124,unreachable
ZFA:0009090,pigment cell,T1,1,123,unreachable
ZFA:0007042,spinal cord neural tube,T1,0,123,unreachable
ZFA:0000574,presumptive diencephalon,T1,0,121,unreachable
ZFA:0001264,ovarian follicle stage IV,T1,0,121,unreachable
ZFA:0009065,endothelial cell,T1,1,119,unreachable
ZFA:0000071,shield,T1,0,116,unreachable
ZFA:0001276,pharyngeal arch 2 skeleton,T1,0,115,via_develops_from
ZFA:0000004,anterior axial hypoblast,T1,0,115,unreachable
ZFA:0007026,forebrain neural keel,T1,0,114,unreachable
ZFA:0005620,endochondral element,T1,0,113,unreachable
ZFA:0001273,ventral mandibular arch,T1,0,112,via_develops_from
ZFA:0000028,heart primordium,T1,0,111,unreachable
ZFA:0000570,optic primordium,T1,0,110,unreachable
ZFA:0001580,neurocranium,T1,0,110,unreachable
ZFA:0000091,axial chorda mesoderm,T1,0,105,unreachable
ZFA:0009096,endocrine cell,T1,1,104,unreachable
ZFA:0009039,squamous epithelial cell,T1,1,102,unreachable
ZFA:0001424,chondrocranium,T1,0,100,unreachable
ZFA:0000084,yolk,T1,1,90,unreachable
ZFA:0009019,neuronal stem cell,T1,1,90,unreachable
ZFA:0005345,adipose tissue,T1,0,90,unreachable
ZFA:0000571,presumptive telencephalon,T1,0,89,unreachable
ZFA:0005042,posterior lateral plate mesoderm,T1,0,88,unreachable
