zfa_id,name,tier,tier_prefloor,usefulness_score,cell_slim,has_cl,cell_identity,ic,credited_genes,direct_genes,n_children,n_is_a_parents,n_part_of_parents,is_leaf,obsolete,in_stoplist,admin_container,structural_container,pure_grouper,curated,on_discernible_step,flags
ZFA:0000003,adaxial cell,T1,T1,5.0,1,1,1,5.1534,407,407,0,1,1,1,0,0,0,0,0,0,1,
ZFA:0000084,yolk,T1,T1,5.0,1,1,1,7.3304,90,51,2,1,0,0,0,0,0,0,0,0,1,
ZFA:0000093,blastomere,T1,T1,5.0,1,0,1,5.8739,247,203,3,1,1,0,0,0,0,0,0,0,1,
ZFA:0000778,spinal cord interneuron,T1,T1,5.0,1,1,1,7.4129,85,68,12,1,1,0,0,0,0,0,0,0,1,
ZFA:0001086,muscle pioneer,T1,T1,5.0,1,0,1,8.0944,53,52,30,1,1,0,0,0,0,0,0,0,1,
ZFA:0001109,oocyte,T1,T1,5.0,1,1,1,5.7616,267,185,5,1,1,0,0,0,0,0,0,0,1,
ZFA:0001565,oocyte stage II,T1,T1,5.0,1,0,1,7.6523,72,72,0,1,1,1,0,0,0,0,0,0,1,
ZFA:0001566,oocyte stage III,T1,T1,5.0,1,0,1,7.693,70,70,0,1,1,1,0,0,0,0,0,0,1,
ZFA:0001567,oocyte stage I,T1,T1,5.0,1,0,1,7.693,70,70,0,1,1,1,0,0,0,0,0,0,1,
ZFA:0001568,oocyte stage IV,T1,T1,5.0,1,0,1,8.0149,56,56,0,1,1,1,0,0,0,0,0,0,1,
ZFA:0001570,unfertilized egg,T1,T1,5.0,1,1,1,7.7999,65,65,0,1,0,1,0,0,0,0,0,0,1,
ZFA:0005830,hematopoietic cell,T1,T1,5.0,1,1,1,5.5461,310,25,10,1,0,0,0,0,0,0,0,0,1,
ZFA:0005957,stem cell,T1,T1,5.0,1,1,1,6.3793,174,3,2,1,0,0,0,0,0,0,0,0,1,
ZFA:0007089,embryonic cell,T1,T1,5.0,1,1,1,6.7137,138,1,2,1,0,0,0,0,0,0,0,0,1,
ZFA:0009003,cranial neural crest cell,T1,T1,5.0,1,0,1,7.9894,57,57,1,1,1,0,0,0,0,0,0,0,1,
ZFA:0009009,neuron neural crest derived,T1,T1,5.0,1,1,1,5.5049,319,3,4,1,0,0,0,0,0,0,0,0,1,
ZFA:0009011,neuroblast,T1,T1,5.0,1,1,1,7.5555,77,31,1,1,0,0,0,0,0,0,0,0,1,
ZFA:0009016,germ line cell,T1,T1,5.0,1,1,1,5.4429,333,19,8,1,0,0,0,0,0,0,0,1,1,
ZFA:0009019,neuronal stem cell,T1,T1,5.0,1,1,1,7.3304,90,25,1,1,0,0,0,0,0,0,0,0,1,
ZFA:0009020,multi fate stem cell,T1,T1,5.0,1,1,1,6.5003,160,2,8,1,0,0,0,0,0,0,0,0,1,
ZFA:0009025,myoblast,T1,T1,5.0,1,1,1,8.0944,53,31,3,1,0,0,0,0,0,0,0,0,1,
ZFA:0009032,ciliated cell,T1,T1,5.0,1,1,1,7.9154,60,8,1,1,0,0,0,0,0,0,0,0,1,
ZFA:0009034,epithelial cell,T1,T1,5.0,1,1,1,5.5935,300,40,21,1,1,0,0,0,0,0,0,0,1,
ZFA:0009035,ciliated epithelial cell,T1,T1,5.0,1,1,1,7.9643,58,7,3,2,0,0,0,0,0,0,0,0,1,
ZFA:0009036,blood vessel endothelial cell,T1,T1,5.0,1,1,1,8.1498,51,50,1,2,1,0,0,0,0,0,0,0,1,
ZFA:0009039,squamous epithelial cell,T1,T1,5.0,1,1,1,7.1498,102,6,7,1,0,0,0,0,0,0,0,0,1,
ZFA:0009044,blood cell,T1,T1,5.0,1,1,1,7.2987,92,54,3,1,1,0,0,0,0,0,0,0,1,
ZFA:0009051,interneuron,T1,T1,5.0,1,1,1,5.9154,240,24,7,1,0,0,0,0,0,0,0,0,1,
ZFA:0009052,motor neuron,T1,T1,5.0,1,1,1,6.7348,136,93,4,1,0,0,0,0,0,0,0,0,1,
ZFA:0009065,endothelial cell,T1,T1,5.0,1,1,1,6.9275,119,84,4,1,0,0,0,0,0,0,0,1,1,attractor_prone
ZFA:0009067,CNS neuron (sensu Vertebrata),T1,T1,5.0,1,1,1,5.6128,296,20,9,1,0,0,0,0,0,0,0,0,1,
ZFA:0009071,Purkinje cell,T1,T1,5.0,1,1,1,7.7779,66,66,0,2,2,1,0,0,0,0,0,0,1,
ZFA:0009073,glial cell,T1,T1,5.0,1,1,1,7.3304,90,26,1,1,1,0,0,0,0,0,0,1,1,
ZFA:0009084,chondrocyte,T1,T1,5.0,1,1,1,8.0674,54,49,3,2,1,0,0,0,0,0,0,1,1,
ZFA:0009088,professional antigen presenting cell,T1,T1,5.0,1,1,1,7.5555,77,1,4,1,0,0,0,0,0,0,0,0,1,
ZFA:0009090,pigment cell,T1,T1,5.0,1,1,1,6.8798,123,67,7,1,0,0,0,0,0,0,0,1,1,
ZFA:0009096,endocrine cell,T1,T1,5.0,1,1,1,7.1218,104,7,8,1,1,0,0,0,0,0,0,0,1,
ZFA:0009114,muscle cell,T1,T1,5.0,1,1,1,5.9214,239,41,3,1,1,0,0,0,0,0,0,0,1,
ZFA:0009115,skeletal muscle cell,T1,T1,5.0,1,1,1,6.6725,142,53,2,1,1,0,0,0,0,0,0,0,1,
ZFA:0009116,slow muscle cell,T1,T1,5.0,1,1,1,7.6324,73,73,30,1,0,0,0,0,0,0,0,0,1,
ZFA:0009117,fast muscle cell,T1,T1,5.0,1,1,1,7.8223,64,64,30,1,0,0,0,0,0,0,0,0,1,
ZFA:0009124,chemoreceptor cell,T1,T1,5.0,1,1,1,7.693,70,1,3,1,0,0,0,0,0,0,0,0,1,
ZFA:0009125,olfactory receptor cell,T1,T1,5.0,1,1,1,8.1498,51,38,4,1,1,0,0,0,0,0,0,0,1,
ZFA:0009127,photoreceptor cell,T1,T1,5.0,1,1,1,6.7033,139,61,3,1,0,0,0,0,0,0,0,0,1,
ZFA:0009128,electrically active cell,T1,T1,5.0,1,1,1,3.2149,1560,1,2,1,0,0,0,0,0,0,0,0,1,
ZFA:0009130,lining cell,T1,T1,5.0,1,1,1,6.8336,127,5,3,1,0,0,0,0,0,0,0,0,1,
